bloque,tema,nivel,orden,enunciado
1,"Navegación filesystem","BÁSICO",1,"ls avanzado: lista /etc con permisos, propietario, tamaño humano, orden fecha mod (reciente primero)"
1,"Navegación filesystem","INTERMEDIO",2,"find con -exec: archivos .log en /var/log/lab con ERROR, muestra primeras 5 líneas"
1,"Navegación filesystem","AVANZADO",3,"find múltiple condiciones: /usr *.conf/*.cfg >10KB, NO grupo root, accedidos últimos 30 días"
1,"Navegación filesystem","TROUBLESHOOTING",4,"Escenario 1: encuentra archivo huérfano en /var/log/lab, cámbialo a root"
1,"Permisos estándar","BÁSICO",1,"chmod numérico: /tmp/estrategia_ventas.txt → 644"
1,"Permisos estándar","INTERMEDIO",2,"umask: como juan crea test.txt, cambia umask (archivos 640, dirs 750)"
1,"Permisos estándar","AVANZADO",3,"Permisos app: /opt/app/config/db.conf (root:rw, appd:r, otros:---)"
1,"Permisos estándar","TROUBLESHOOTING",4,"Escenario 6: httpd 403 en /var/www/html/lab/index.html, diagnostica/corrige"
1,"Permisos especiales","BÁSICO",1,"Identificar SUID: 3 binarios /usr/bin SUID + explicación"
1,"Permisos especiales","INTERMEDIO",2,"SGID básico: /tmp/sgid_test con SGID, demuestra herencia grupo"
1,"Permisos especiales","AVANZADO",3,"Auditoría SUID: script que encuentra/reporta SUID inesperados → /root/suid_audit.txt"
1,"Permisos especiales","TROUBLESHOOTING",4,"Escenario 11: sticky bit faltante en /var/tmp/compartido_publico"
1,"ACLs","BÁSICO",1,"Ver ACLs: getfacl /data/empresa/finanzas"
1,"ACLs","INTERMEDIO",2,"ACLs por defecto: /proyectos/compartido da lectura grupo auditores a nuevos archivos"
1,"ACLs","AVANZADO",3,"Estrategia ACLs: política /data/empresa (Finanzas, RRHH, IT, Ventas)"
1,"ACLs","TROUBLESHOOTING",4,"Escenario 16: máscara limita permisos de carlos en secreto.txt"
1,"Links","BÁSICO",1,"ln -s: /opt/app.conf → /etc/app/config/app.conf"
1,"Links","INTERMEDIO",2,"Hard vs copia: crea hard link y copia, modifica original, compara"
1,"Links","AVANZADO",3,"Script links: verifica links rotos /usr/local/bin"
1,"Links","TROUBLESHOOTING",4,"Escenario 21: link roto /opt/myapp/app.conf → corrige"
1,"Compresión","BÁSICO",1,"tar czf: /lab/compresion/documentos → /tmp/documentos_backup.tar.gz"
1,"Compresión","INTERMEDIO",2,"Comparar: gzip/bzip2/xz en app.log, compara tamaños"
1,"Compresión","AVANZADO",3,"Script backup: dir argumento, fecha nombre, mejor algoritmo, verifica integridad"
1,"Compresión","TROUBLESHOOTING",4,"Escenario 26: backup corrupto /tmp/backup_corrupto.tar.gz, recupera posible"
1,"Gestión paquetes","BÁSICO",1,"dnf: verifica httpd instalado + versión"
1,"Gestión paquetes","INTERMEDIO",2,"dnf history: cuándo se instaló httpd"
1,"Gestión paquetes","AVANZADO",3,"Repo local: /repositorio-local con createrepo"
1,"Gestión paquetes","TROUBLESHOOTING",4,"Escenario 33: httpd.conf modificado, rpm -V + decide restaurar"
1,"Vim","BÁSICO",1,"Vim básico: abre /tmp/vim_practice_long.txt, línea 50, inserta, guarda"
1,"Vim","INTERMEDIO",2,"Buscar/reemplazar: oldserver01 → newserver01 en vim_practice_replace.txt"
1,"Vim","AVANZADO",3,"Macros: agrega '; # Comentado' a líneas con Listen"
1,"Vim","TROUBLESHOOTING",4,"Escenario 37: editar sin permisos escritura con sudo en vim"
