bloque,tema,nivel,orden,enunciado,dificultad
1,"Fundamentos del sistema","Basico",1,"Exam Scenario:
Context: Acabas de asumir como administrador de un servidor Rocky Linux 9. El administrador anterior dejó el sistema con algunos problemas de organización.
Task: Encuentra todos los archivos de configuración (.conf) en /etc que hayan sido modificados en los últimos 7 días.
Technical Requirements:
- Usar el comando find con las opciones adecuadas
- Mostrar la lista completa de archivos con su fecha de modificación
- Identificar cuál es el archivo más reciente",2
1,"Fundamentos del sistema","Basico",2,"Exam Scenario:
Context: Un compañero del equipo de desarrollo te pide ayuda porque no puede ejecutar un script.
Task: El archivo /opt/app/backup_script.sh tiene permisos incorrectos. Debe ser ejecutable por el propietario y el grupo, pero solo legible por otros.
Technical Requirements:
- Cambiar los permisos a 755 (rwxr-xr-x)
- Verificar que el propietario sea root
- Probar que el script se ejecuta correctamente",1
1,"Fundamentos del sistema","Basico",3,"Exam Scenario:
Context: El departamento de finanzas necesita compartir archivos temporalmente, pero están preocupados por la seguridad.
Task: El directorio /var/tmp/compartido_publico permite que usuarios eliminen archivos de otros. Debes evitar esto.
Technical Requirements:
- Aplicar el sticky bit al directorio
- Verificar que los usuarios puedan crear archivos pero no borrar los de otros
- Probar con los usuarios juan, maria y carlos",3
1,"Fundamentos del sistema","Basico",4,"Exam Scenario:
Context: El equipo de auditoría necesita acceso a los reportes financieros, pero no debe modificarlos.
Task: El archivo /data/reportes/financiero.txt debe ser legible por el grupo auditores.
Technical Requirements:
- Usar ACLs para dar permiso de lectura al grupo auditores
- Mantener los permisos existentes para el propietario (maria) y grupo (contabilidad)
- Verificar que auditor pueda leer pero no escribir",2
1,"Fundamentos del sistema","Basico",5,"Exam Scenario:
Context: La aplicación no encuentra su archivo de configuración.
Task: El link simbólico /opt/app.conf.current está roto. Debe apuntar a /etc/app/config/app.conf.
Technical Requirements:
- Corregir el link simbólico existente
- Verificar que apunta al destino correcto con ls -l
- Probar que se puede leer el archivo a través del link",1
1,"Fundamentos del sistema","Basico",6,"Exam Scenario:
Context: Necesitas enviar por email todos los logs de la aplicación, pero el archivo es demasiado grande.
Task: Comprime /var/log/lab/app_large.log usando gzip con la máxima compresión.
Technical Requirements:
- Crear /tmp/app_large.log.gz con la máxima compresión
- Comparar el tamaño original vs comprimido
- Verificar que el archivo comprimido es legible con zcat",2
1,"Fundamentos del sistema","Basico",7,"Exam Scenario:
Context: El equipo de seguridad sospecha que algún binario del sistema ha sido modificado.
Task: Verifica la integridad del paquete httpd usando rpm.
Technical Requirements:
- Usar rpm -V para verificar el paquete httpd
- Identificar qué archivos han sido modificados
- Documentar los cambios encontrados",3
1,"Fundamentos del sistema","Basico",8,"Exam Scenario:
Context: Necesitas editar un archivo de configuración en /etc, pero es muy largo y difícil de navegar.
Task: Abre /tmp/vim_practice_long.txt en vim y practica navegación eficiente.
Technical Requirements:
- Ir directamente a la línea 50 sin usar las flechas
- Buscar la palabra 'aleatorio' y saltar a la siguiente ocurrencia
- Copiar las líneas 100-105 y pegarlas al final del archivo",1
1,"Fundamentos del sistema","Basico",9,"Exam Scenario:
Context: Hay un archivo en /var/log/lab que no tiene propietario válido (usuario eliminado).
Task: Encuentra el archivo huérfano y asígnale propietario correcto.
Technical Requirements:
- Encontrar archivos con UID/GID que no existen en el sistema
- Identificar /var/log/lab/orphan_file.txt
- Cambiar propietario a root:root",2
1,"Fundamentos del sistema","Basico",10,"Exam Scenario:
Context: El directorio /data/compartido tiene permisos demasiado abiertos (777) y es inseguro.
Task: Ajusta los permisos para que solo el propietario y el grupo puedan acceder.
Technical Requirements:
- Cambiar permisos del directorio a 750 (rwxr-x---)
- Asegurar que los archivos dentro mantengan permisos 640
- Verificar que otros usuarios no puedan listar el contenido",2
